Program,mutant,qubit,threshold,accuracy,precision,recall,false_positives,false_negatives,true_positives,true_negatives,n_samples
ae,eq,5,0.7234384719310727,0.6,0.0,,12,0,0,18,30
ae,eq,10,1.398099869095076,0.5333333333333333,0.0,,14,0,0,16,30
ae,f1,5,0.969788079495306,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
ae,f1,10,1.856133149218931,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
ae,f2,5,1.1174064882514108,0.3333333333333333,1.0,0.3333333333333333,0,20,10,0,30
ae,f2,10,1.7165697278081689,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
ae,f3,5,1.0581023957139168,0.4666666666666667,1.0,0.4666666666666667,0,16,14,0,30
ae,f3,10,1.5165734055929134,0.7333333333333333,1.0,0.7333333333333333,0,8,22,0,30
dj,eq,5,1.205955129890547,0.4666666666666667,0.0,,16,0,0,14,30
dj,eq,10,1.6355562452347705,0.4,0.0,,18,0,0,12,30
dj,f1,5,2.1467220908788045,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
dj,f1,10,3.2949033882882555,0.4666666666666667,1.0,0.4666666666666667,0,16,14,0,30
dj,f2,5,2.251101390968595,0.4666666666666667,1.0,0.4666666666666667,0,16,14,0,30
dj,f2,10,3.6342506872845086,0.3333333333333333,1.0,0.3333333333333333,0,20,10,0,30
dj,f3,5,1.7285413570452413,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
dj,f3,10,3.1803143318844995,0.4,1.0,0.4,0,18,12,0,30
ghz,eq,5,0.9821757131964848,0.4666666666666667,0.0,,16,0,0,14,30
ghz,eq,10,0.8637020748767292,0.13333333333333333,0.0,,26,0,0,4,30
ghz,f1,5,1.2752532222868709,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
ghz,f1,10,1.4975215012978549,0.8666666666666667,1.0,0.8666666666666667,0,4,26,0,30
ghz,f2,5,0.876760793183238,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
ghz,f2,10,1.207169468900689,0.8666666666666667,1.0,0.8666666666666667,0,4,26,0,30
ghz,f3,5,1.133240155005788,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
ghz,f3,10,0.9093215216065152,0.8666666666666667,1.0,0.8666666666666667,0,4,26,0,30
graphstate,eq,5,0.4143662150277161,0.7333333333333333,0.0,,8,0,0,22,30
graphstate,eq,10,0.5654965506705618,0.8,0.0,,6,0,0,24,30
graphstate,f1,5,0.5148615982033274,0.26666666666666666,1.0,0.26666666666666666,0,22,8,0,30
graphstate,f1,10,0.5140652058909386,0.3333333333333333,1.0,0.3333333333333333,0,20,10,0,30
graphstate,f2,5,0.4938949393791001,0.26666666666666666,1.0,0.26666666666666666,0,22,8,0,30
graphstate,f2,10,0.4656816929575171,0.7333333333333333,1.0,0.7333333333333333,0,8,22,0,30
graphstate,f3,5,0.536408013985537,0.2,1.0,0.2,0,24,6,0,30
graphstate,f3,10,0.5010810704256942,0.6666666666666666,1.0,0.6666666666666666,0,10,20,0,30
qnn,eq,5,0.7243495693883177,0.4666666666666667,0.0,,16,0,0,14,30
qnn,eq,10,0.546216479841423,0.4666666666666667,0.0,,16,0,0,14,30
qnn,f1,5,1.1885483789343496,0.4666666666666667,1.0,0.4666666666666667,0,16,14,0,30
qnn,f1,10,0.6285259810676103,0.4,1.0,0.4,0,18,12,0,30
qnn,f2,5,1.223268409165314,0.5333333333333333,1.0,0.5333333333333333,0,14,16,0,30
qnn,f2,10,0.5795318123342024,0.6,1.0,0.6,0,12,18,0,30
qnn,f3,5,1.3670609038348167,0.3333333333333333,1.0,0.3333333333333333,0,20,10,0,30
qnn,f3,10,0.6148682309533523,0.7333333333333333,1.0,0.7333333333333333,0,8,22,0,30
random,eq,5,1.230299262964599,0.3333333333333333,0.0,,20,0,0,10,30
random,eq,10,0.4271047997589453,0.35,0.0,,26,0,0,14,40
random,f1,5,1.4543912891508184,0.8,1.0,0.8,0,6,24,0,30
random,f1,10,0.5941371491702845,0.3,1.0,0.3,0,28,12,0,40
random,f2,5,1.896705129086595,0.26666666666666666,1.0,0.26666666666666666,0,22,8,0,30
random,f2,10,0.5265744799665744,0.65,1.0,0.65,0,14,26,0,40
random,f3,5,1.8864704020180945,0.4666666666666667,1.0,0.4666666666666667,0,16,14,0,30
random,f3,10,0.5107090410516278,0.8,1.0,0.8,0,8,32,0,40
realamprandom,eq,5,0.8924069648470934,0.7333333333333333,0.0,,8,0,0,22,30
realamprandom,eq,10,0.3245589107705348,0.1,0.0,,36,0,0,4,40
realamprandom,f1,5,1.130828264749684,0.2,1.0,0.2,0,24,6,0,30
realamprandom,f1,10,0.304652959667235,0.9,1.0,0.9,0,4,36,0,40
realamprandom,f2,5,0.900813506294066,0.26666666666666666,1.0,0.26666666666666666,0,22,8,0,30
realamprandom,f2,10,0.3092125454104478,0.9,1.0,0.9,0,4,36,0,40
realamprandom,f3,5,1.1441551876575982,0.2,1.0,0.2,0,24,6,0,30
realamprandom,f3,10,0.2985352212094791,0.9,1.0,0.9,0,4,36,0,40
su2random,eq,5,0.6384996126400563,0.8,0.0,,6,0,0,24,30
su2random,eq,10,0.6384996126400563,0.8,0.0,,6,0,0,24,30
su2random,f1,5,1.1168992135547338,0.26666666666666666,1.0,0.26666666666666666,0,22,8,0,30
su2random,f1,10,1.1168992135547338,0.2,1.0,0.2,0,24,6,0,30
su2random,f2,5,1.20482688115629,0.2,1.0,0.2,0,24,6,0,30
su2random,f2,10,1.20482688115629,0.2,1.0,0.2,0,24,6,0,30
su2random,f3,5,1.067398988826483,0.2,1.0,0.2,0,24,6,0,30
su2random,f3,10,1.067398988826483,0.3,1.0,0.3,0,14,6,0,20
twolocalrandom,eq,5,0.7635506177325841,0.6,0.0,,12,0,0,18,30
twolocalrandom,eq,10,0.7635506177325841,0.7,0.0,,6,0,0,14,20
twolocalrandom,f1,5,1.286385992205806,0.2,1.0,0.2,0,24,6,0,30
twolocalrandom,f1,10,1.286385992205806,0.3,1.0,0.3,0,14,6,0,20
twolocalrandom,f2,5,1.2008423965840638,0.2,1.0,0.2,0,24,6,0,30
twolocalrandom,f2,10,1.2008423965840638,0.3,1.0,0.3,0,14,6,0,20
twolocalrandom,f3,5,1.3824534783509783,0.26666666666666666,1.0,0.26666666666666666,0,22,8,0,30
twolocalrandom,f3,10,1.3824534783509783,0.3,1.0,0.3,0,14,6,0,20
wstate,eq,5,0.4702621989999095,0.5333333333333333,0.0,,14,0,0,16,30
wstate,eq,10,0.4702621989999095,0.2,0.0,,16,0,0,4,20
wstate,f1,5,0.797336179509995,0.3333333333333333,1.0,0.3333333333333333,0,20,10,0,30
wstate,f1,10,0.797336179509995,0.8,1.0,0.8,0,4,16,0,20
wstate,f2,5,0.6060595476923418,0.4,1.0,0.4,0,18,12,0,30
wstate,f2,10,0.6060595476923418,0.8,1.0,0.8,0,4,16,0,20
wstate,f3,5,0.7103312973055509,0.3333333333333333,1.0,0.3333333333333333,0,20,10,0,30
wstate,f3,10,0.7103312973055509,0.8,1.0,0.8,0,4,16,0,20
