threshold,accuracy,false_positives,false_negatives,true_positives,true_negatives
0.1,0.0,58,0,0,0
0.28,0.05,55,0,0,3
0.47,0.31,40,0,0,18
0.65,0.55,26,0,0,32
0.84,0.67,19,0,0,39
1.02,0.72,16,0,0,42
1.21,0.76,14,0,0,44
1.39,0.86,8,0,0,50
1.57,0.9,6,0,0,52
1.76,0.93,4,0,0,54
1.94,0.93,4,0,0,54
2.13,0.95,3,0,0,55
2.31,0.97,2,0,0,56
2.5,0.97,2,0,0,56
2.68,1.0,0,0,0,58
2.86,1.0,0,0,0,58
3.05,1.0,0,0,0,58
3.23,1.0,0,0,0,58
3.42,1.0,0,0,0,58
3.6,1.0,0,0,0,58
3.79,1.0,0,0,0,58
3.97,1.0,0,0,0,58
4.15,1.0,0,0,0,58
4.34,1.0,0,0,0,58
4.52,1.0,0,0,0,58
4.71,1.0,0,0,0,58
4.89,1.0,0,0,0,58
5.08,1.0,0,0,0,58
5.26,1.0,0,0,0,58
5.44,1.0,0,0,0,58
