threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.1,0.51,0.52,0.7,0.3,0.5,0.51,19,9,21,8
0.28,0.49,0.52,0.57,0.41,0.49,0.51,16,13,17,11
0.47,0.46,0.48,0.5,0.41,0.45,0.48,16,15,15,11
0.65,0.44,0.46,0.4,0.48,0.44,0.46,14,18,12,13
0.84,0.47,0.5,0.37,0.59,0.48,0.5,11,19,11,16
1.02,0.47,0.5,0.3,0.67,0.48,0.49,9,21,9,18
1.2,0.47,0.5,0.27,0.7,0.49,0.48,8,22,8,19
1.39,0.47,0.5,0.27,0.7,0.49,0.48,8,22,8,19
1.57,0.47,0.5,0.23,0.74,0.49,0.47,7,23,7,20
1.76,0.49,0.54,0.23,0.78,0.51,0.48,6,23,7,21
1.94,0.47,0.5,0.2,0.78,0.49,0.46,6,24,6,21
2.13,0.47,0.5,0.2,0.78,0.49,0.46,6,24,6,21
2.31,0.47,0.5,0.2,0.78,0.49,0.46,6,24,6,21
2.49,0.47,0.5,0.2,0.78,0.49,0.46,6,24,6,21
2.68,0.47,0.5,0.2,0.78,0.49,0.46,6,24,6,21
2.86,0.47,0.5,0.17,0.81,0.49,0.44,5,25,5,22
3.05,0.47,0.5,0.17,0.81,0.49,0.44,5,25,5,22
3.23,0.47,0.5,0.17,0.81,0.49,0.44,5,25,5,22
3.41,0.47,0.5,0.13,0.85,0.49,0.43,4,26,4,23
3.6,0.46,0.43,0.1,0.85,0.48,0.4,4,27,3,23
3.78,0.47,0.5,0.1,0.89,0.49,0.41,3,27,3,24
3.97,0.47,0.5,0.1,0.89,0.49,0.41,3,27,3,24
4.15,0.47,0.5,0.07,0.93,0.5,0.39,2,28,2,25
4.34,0.47,0.5,0.07,0.93,0.5,0.39,2,28,2,25
4.52,0.49,1.0,0.03,1.0,0.52,0.37,0,29,1,27
4.7,0.47,,0.0,1.0,0.5,0.33,0,30,0,27
4.89,0.47,,0.0,1.0,0.5,0.33,0,30,0,27
5.07,0.47,,0.0,1.0,0.5,0.33,0,30,0,27
5.26,0.47,,0.0,1.0,0.5,0.33,0,30,0,27
5.44,0.47,,0.0,1.0,0.5,0.33,0,30,0,27
