program,Q#5,Q#10,Q#15,Q#20,Q#25,Q#29
ae,0.39999999999999997,0.6999999999999998,0.8000000000000002,0.7666666666666666,0.8666666666666667,0.7000000000000001
dj,0.5,0.7999999999999999,1.0,0.7666666666666666,0.5333333333333333,0.7000000000000001
ghz,0.03333333333333333,0.4000000000000001,0.6333333333333333,0.16666666666666666,0.26666666666666666,0.5333333333333333
graphstate,0.3333333333333333,0.6666666666666666,0.3,0.4333333333333333,0.3666666666666667,0.3666666666666667
qnn,0.7333333333333334,0.3333333333333333,0.3333333333333333,0.3,0.3666666666666667,0.39999999999999997
random,0.5666666666666667,0.3666666666666667,0.4000000000000001,0.4000000000000001,0.3333333333333333,0.3
realamprandom,0.2333333333333333,0.4000000000000001,0.4666666666666666,0.26666666666666666,0.4000000000000001,0.3333333333333333
su2random,0.6666666666666666,0.5666666666666667,0.3666666666666667,0.46666666666666673,0.43333333333333335,0.3666666666666667
twolocalrandom,0.3,0.3666666666666667,0.3666666666666667,0.4666666666666666,0.3333333333333333,0.3666666666666667
wstate,0.26666666666666666,0.06666666666666667,0.10000000000000002,0.43333333333333335,0.39999999999999997,0.26666666666666666
